Fichier,Type_risque,Gravite,Phrase
blog/bougies-shabbat-horaire-allumage-en.html,bein-hashmashot+tosefet-meme-phrase,MOYENNE,"(bein hashmashot, tosefet Shabbat) | DAAT דעת דעת Daat Torah Hilkhot Shabbat Blog 💬 Daat AI About FR HE EN ♥ Support Home › Blog › Time of Shabbat Candle Lighting Hilkhot Shabbat · Siman 261 What Time Do You Light Shabbat Candles?"
blog/bougies-shabbat-horaire-allumage-en.html,bein-hashmashot+tosefet-meme-phrase,MOYENNE,Marker What the source says / frames Seif 1 During בין השמשות: one no longer lights (it may already be Shabbat) Seif 2 Mitzvah of תוספת שבת: add a clearly daytime moment before the entry 18 minutes Widespread custom in most communities (before sunset) Local variants By place and 
blog/bougies-shabbat-horaire-allumage-he.html,bein-hashmashot+tosefet-meme-phrase,MOYENNE,"(בין השמשות, תוספת שבת) | DAAT דעת דעת Daat Torah הלכות שבת בלוג 💬 IA Daat אודות FR HE EN ♥ תרומה בית › בלוג › זמן הדלקת נרות שבת הלכות שבת · סימן רס״א אימתי מדליקים נרות שבת?"
blog/bougies-shabbat-horaire-allumage-he.html,bein-hashmashot+tosefet-meme-phrase,MOYENNE,"סימן מה אומר / ממסגר המקור סעיף א׳ בבין השמשות: אין עוד מדליקים (שמא כבר שבת) סעיף ב׳ מצות תוספת שבת: להוסיף זמן שהוא ודאי יום קודם הכניסה 18 דקות מנהג רווח ברוב הקהילות (קודם השקיעה) שינויים מקומיים לפי המקומות והמנהגים — בירושלים המנהג להקדים יותר (22 דקות), ואצל החסידים 40 דקו"
blog/index-he.html,bein-hashmashot+tosefet-meme-phrase,MOYENNE,"בין השמשות, תוספת שבת, 18 הדקות: מתי בדיוק מדליקים את הנרות כדי להיכנס לשבת."
blog/index.html,bein-hashmashot+tosefet-meme-phrase,MOYENNE,"Le moment précis de l'allumage : בין השמשות (le crépuscule, un doute), la mitsva de תוספת שבת (anticiper l'entrée) et l'usage des 18 minutes."
blog/bougies-shabbat-horaire-allumage.html,bein-hashmashot+tosefet-meme-phrase,MOYENNE,"(bein hashemashot, tossefet Shabbat) | DAAT דעת דעת Daat Torah Hilkhot Shabbat Blog 💬 IA Daat À propos ♥ Soutenir Accueil › Blog › Heure d'allumage des bougies de Shabbat Hilkhot Shabbat · Siman 261 À quelle heure allumer les bougies de Shabbat ?"
blog/bougies-shabbat-horaire-allumage.html,bein-hashmashot+tosefet-meme-phrase,MOYENNE,Repère Ce que dit / encadre la source Seif א Pendant בין השמשות : on n'allume plus (c'est peut-être déjà Shabbat) Seif ב Mitsva de תוספת שבת : ajouter un moment clairement diurne avant l'entrée 18 minutes Usage répandu dans la majorité des communautés (avant le coucher du soleil)
blog/sonneries-shofar-entree-shabbat-he.html,bein-hashmashot+tosefet-meme-phrase,MOYENNE,הרשמה ראו גם בנושא זה סימן רנ״ו — שש תקיעות השופר להכריז על כניסת השבת סימן רנ״ה — הכנת האש קודם כניסת השבת סימן רנ״ז — הטמנת החמין לשבת סימן רס״א — בין השמשות ותוספת שבת DAAT דעת — © 5786 / 2026 · בית · בלוג · הלכות שבת · IA Daat · תרומה
blog/index-en.html,bein-hashmashot+tosefet-meme-phrase,MOYENNE,"Bein hashmashot (twilight, a doubt), tosefet Shabbat (anticipating the entry) and the acceptance of Shabbat: what the Shulchan Aruch says about the precise moment of lighting — and where the custom of 18 minutes before sunset comes from."
sources/yoreh-deah/siman-197/niveau-4-halakha-en.html,melange-shitot-chiffre,MOYENNE,"The Tzemach Tzedek of Lubavitch — Chabad's halachic authority of reference in Niddah The Tzemach Tzedek of Lubavitch — Rabbi Menachem Mendel Schneersohn (1789-1866) , third Rebbe of Lubavitch and grandson of the Admour HaZaken — is the poseq of reference of Chabad , especially in"
sources/yoreh-deah/siman-197/niveau-4-halakha.html,melange-shitot-chiffre,MOYENNE,"Le Tzemah Tzedek de Loubavitch — autorité halakhique de référence de 'Habad sur la Nidah Le Tzemah Tzedek de Loubavitch — Rabbi Menahem Mendel Schneersohn (1789-1866) , troisième Rabbi de Loubavitch et petit-fils de l'Admour HaZaken — est le poseq de référence de 'Habad , en part"
sources/yoreh-deah/siman-197/niveau-4-halakha-he.html,melange-shitot-chiffre,MOYENNE,"הצמח צדק מליובאוויטש — פוסק היסוד של חב״ד בנדה ה צמח צדק מליובאוויטש — רבי מנחם מענדל שניאורסון (תקמ״ט–תרכ״ו, 1789-1866) , האדמו""ר השלישי של ליובאוויטש ונכד אדמו""ר הזקן — הוא פוסק היסוד של חב״ד , ובפרט בטהרת המשפחה."
sources/yoreh-deah/siman-196/index.html,duree-presentee-universelle,IMPORTANTE,"Choulhan Aroukh, Yoreh De'ah 196:1-4 (résumé) Les 4 niveaux d'étude NIVEAU 01 רמת המתחיל Base — Débutant & Intermédiaire Le texte hébreu des 13 seifim vocalisé, avec traduction française fluide : le הפסק טהרה proche de בין השמשות, le מוך דחוק du jour unique, le חלוק בדוק et les ל"
