Fichier,Termes,Phrase
about-en.html,,"Verified halachic corrections are usually deployed within 72 hours, in all three languages at once."
about.html,,"Les corrections halakhiques validées sont déployées en général sous 72 h, dans les trois langues simultanément."
chitah-admour-hazaken.html,admour,"Qui est l'Admour HaZaken — מי הוא אדמו״ר הזקן Rabbi Schneur Zalman de Liadi (1745–1812), connu comme l' Admour HaZaken (« le vieux Rebbe »), est le fondateur de la dynastie hassidique Habad ."
chitah-admour-hazaken.html,,Publié en 1796.
chitah-admour-hazaken.html,,"📚 Sources publiques mobilisées dans le niveau 4 Daat HaRav שלחן ערוך אדמו״ר הזקן — édition Kehot, avec קונטרס אחרון, מהדורא בתרא et הגהות וציונים הקדמת בני המחבר — préface des fils de l'auteur, exposant le but du SA HaRav ליקוטי שיחות — 35 volumes des sikhot du Rabbi (Kehot, 1962"
index.html,,Simanim 242 → 365 · Sefaria intégré · Convention de glose hébraïque · Placeholders Hagahot/Mahadoura Batra Parcourir les 124 simanim → Chitah de l'Admour ↗ En cours אורח חיים Orah Haïm — Hilkhot Shabbat Chargement de la liste des simanim disponibles… Chargement des simanim… → Pag
index.html,,Siman 318 Réchauffer un plat le Shabbat ?
soutenir.html,,Ton don de 18 € finance directement 36 conversations offertes à d'autres étudiants.
soutenir.html,,Your €18 donation directly funds 36 conversations offered to other learners.
soutenir.html,,תרומה של 18 € ממנת ישירות 36 שיחות שתינתנה במתנה לתלמידים אחרים.
soutenir.html,,"» ""She is a tree of life to those who hold her fast, and happy are all who support her."" משלי, פרק ג, פסוק י״ח Mishlei 3 · 18 Le modèle de Issachar et Zévouloun Dans la Torah, deux frères concluent un pacte."
soutenir.html,,"» ""Rejoice, Zevulun, in your going out — and Issachar, in your tents."" דברים, פרק ל״ג, פסוק י״ח Devarim 33 · 18 יעד החודש Objectif du mois Goal for this month יעד החודש 0 € / 800 € 0  % — jours restants — days left — ימים נותרו Cet objectif couvre les frais mensuels réels : IA Cl"
soutenir.html,,Reçu fiscal automatique — 66 % déductible en France (loi 1901).
soutenir.html,,Automatic tax receipt — 66 % deductible in France (loi 1901).
soutenir.html,,אישור מס אוטומטי — 66 % החזר בצרפת (חוק 1901).
soutenir.html,,18 € permettent à 36 étudiants de poser leur question à l'IA Daat.
soutenir.html,,€18 lets 36 students ask their question to the Daat AI.
soutenir.html,,18 € מאפשרים ל- 36 תלמידים לשאול את שאלתם בדעת AI.
soutenir.html,,18 € 36 € 72 € 180 € ↓ Choisir un autre montant ↓ Choose another amount ↓ סכום אחר 💎 En remerciement : accès aux réponses Opus pour ton étude — l'analyse halakhique approfondie de l'IA Daat.
soutenir.html,,Une page de niveau One level page עמוד אחד 36 € Un siman complet (3 niveaux) A full siman (3 levels) סימן שלם (3 רמות) 180 € Un mois d'étude A month of study חודש לימוד 720 € 💡 Comment dédier ?
soutenir.html,,"18 € /mois 36 € /mois 50 € /mois 100 € /mois 💎 En remerciement : accès continu aux réponses Opus pour ton étude, tant que dure ton soutien."
soutenir.html,rt,55% Production de contenu & traduction Content production & translation הפקת תוכן ותרגום 25% IA Daat & serveurs Daat AI & servers בינת דעת ושרתים 15% Diffusion & outils Outreach & tools הפצה וכלים 5% Frais bancaires & HelloAsso Banking & HelloAsso fees עמלות בנק והליואסו Une asso
soutenir.html,,עמותה רשומה דעת מנוהלת על ידי עמותה רשומה (loi 1901) בצרפת.
soutenir.html,,L'association est déclarée loi 1901 d'intérêt général.
soutenir.html,,The association is a registered loi 1901 non-profit of general interest.
soutenir.html,,העמותה רשומה לפי חוק 1901 כעמותה לתועלת הציבור.
soutenir.html,,Un don de 18 € permet donc ~36 conversations gratuites offertes à d'autres étudiants.
soutenir.html,,A €18 donation funds ~36 free conversations offered to other learners.
soutenir.html,,תרומה של 18 € מממנת כ-36 שיחות חינמיות שמוצעות לתלמידים אחרים.
faq-he.html,tzeit,"אם לא מצאת כאן את תשובתך — עוזר דעת AI משיב לכל שאלה הלכתית עם מקורותיה, או שאל בקבוצת הוואטסאפ של הקהילה."
chitah-admour-hazaken-he.html,,"מיהו אדמו״ר הזקן — מי הוא אדמו״ר הזקן רבנו שניאור זלמן מלאדי (תק״ה–תקע״ג, 1745–1812), הידוע בשם אדמו״ר הזקן , הוא מייסד שושלת חסידות חב״ד ."
chitah-admour-hazaken-he.html,,נדפס לראשונה בשנת תקנ״ז (1796).
about-he.html,,"תיקונים הלכתיים שאומתו נכנסים לאוויר בדרך כלל תוך 72 שעות, בכל שלוש השפות בו-זמנית."
chitah-admour-hazaken-en.html,admour,"Who is the Admour HaZaken — מי הוא אדמו״ר הזקן Rabbi Schneur Zalman of Liadi (1745–1812), known as the Admour HaZaken (""the elder Rebbe""), is the founder of the Chabad chassidic dynasty."
chitah-admour-hazaken-en.html,,First published in 1796.
chitah-admour-hazaken-en.html,,"📚 Public sources mobilized in Level 4 Daat HaRav שלחן ערוך אדמו״ר הזקן — Kehot edition, with קונטרס אחרון, מהדורא בתרא and הגהות וציונים הקדמת בני המחבר — preface of the author's sons, setting out the purpose of the SA HaRav ליקוטי שיחות — 35 volumes of the Rebbe's sichos (Kehot,"
soutenir-he.html,,תרומה של 18 € ממנת ישירות 36 שיחות שתינתנה במתנה לתלמידים אחרים.
soutenir-he.html,tzeit|rt,"שְׂמַח זְבוּלֻן בְּצֵאתֶךָ וְיִשָּׂשכָר בְּאֹהָלֶיךָ ""שמח זבולון בצאתך, ויששכר באוהליך."" דברים לג · יח יעד החודש יעד החודש 0 € / 800 € 0  % — ימים נותרו יעד זה מכסה את העלויות החודשיות הממשיות : דעת AI (קלוד), שרתי Vercel, מסד נתונים ודומיין."
soutenir-he.html,,אישור מס אוטומטי — 66 % החזר בצרפת (חוק 1901).
soutenir-he.html,,18 € מאפשרים ל- 36 תלמידים לשאול את שאלתם בדעת AI.
soutenir-he.html,,"18 € 36 € 72 € 180 € ↓ סכום אחר תרום עכשיו ב להקדיש לימוד לעילוי נשמת · רפואה שלמה · להצלחה הקדישו דף, סימן שלם, או חודש שלם של לימוד — לעילוי נשמת אהוב, לרפואה שלמה, או להצלחה."
soutenir-he.html,,עמוד אחד של רמה 36 € סימן שלם (3 רמות) 180 € חודש לימוד 720 € 💡 איך מקדישים?
soutenir-he.html,,18 € /חודש 36 € /חודש 50 € /חודש 100 € /חודש להפוך לתומך הדעת תומכי הדעת · עמודי המקום קיר הבונים הם בחרו לחקוק את תמיכתם לאורך זמן.
soutenir-he.html,rt,55% הפקת תוכן ותרגום 25% דעת AI ושרתים 15% הפצה וכלים 5% עמלות בנק ו-HelloAsso עמותה רשומה דעת מנוהלת על ידי עמותה רשומה (loi 1901) בצרפת.
soutenir-he.html,,העמותה רשומה לפי חוק 1901 כעמותה לתועלת הציבור.
soutenir-he.html,,תרומה של 18 € מממנת כ-36 שיחות חינמיות שמוצעות לתלמידים אחרים.
index-en.html,,Simanim 242 → 365 · Sefaria integration · Hebrew glosa convention · Hagahot/Mahadura Batra placeholders Browse the 124 simanim → Shitah of the Admor ↗ In progress אורח חיים Orach Chaim — Hilkhot Shabbat Loading the list of available simanim… Loading simanim… → Full simanim page N
soutenir-en.html,,Your €18 donation directly funds 36 conversations offered to other talmidim.
soutenir-en.html,,"✦ עֵץ חַיִּים הִיא לַמַּחֲזִיקִים בָּהּ וְתֹמְכֶיהָ מְאֻשָּׁר ""She is a tree of life to those who hold her fast, and happy are all who support her."" Mishlei 3 · 18 The Issachar & Zevulun model In the Torah, two brothers struck a pact."
soutenir-en.html,,"שְׂמַח זְבוּלֻן בְּצֵאתֶךָ וְיִשָּׂשכָר בְּאֹהָלֶיךָ ""Rejoice, Zevulun, in your going out — and Issachar, in your tents."" Devarim 33 · 18 יעד החודש Goal for this month 0 € / 800 € 0  % — days left This goal covers real monthly costs : Claude AI (Daat chat), Vercel servers, databa"
soutenir-en.html,,Automatic tax receipt — 66 % deductible in France (loi 1901).
soutenir-en.html,,€18 lets 36 talmidim ask their question to the Daat AI.
soutenir-en.html,,"18 € 36 € 72 € 180 € ↓ Choose another amount Give now ב Dedicate a study לעילוי נשמת · רפואה שלמה · הצלחה Dedicate a page, an entire siman, or a month of study — l'illui nishmat a loved one, for refuah sheleimah, or for hatzlacha."
soutenir-en.html,,One level page 36 € A full siman (3 levels) 180 € A month of study 720 € 💡 How to dedicate?
soutenir-en.html,,18 € /month 36 € /month 50 € /month 100 € /month Become a Tomeh Adaat תומכי הדעת · עמודי המקום Wall of Builders They chose to inscribe their support over time.
soutenir-en.html,,The association is a registered loi 1901 non-profit of general interest.
soutenir-en.html,,A €18 donation funds ~36 free conversations offered to other talmidim.
blog/bougies-shabbat-horaire-allumage-en.html,bein_hashmashot|tosefet,"(bein hashmashot, tosefet Shabbat) | DAAT דעת דעת Daat Torah Hilkhot Shabbat Blog 💬 Daat AI About FR HE EN ♥ Support Home › Blog › Time of Shabbat Candle Lighting Hilkhot Shabbat · Siman 261 What Time Do You Light Shabbat Candles?"
blog/bougies-shabbat-horaire-allumage-en.html,bein_hashmashot,"Study based on the Shulchan Aruch · by Rav Yossef Haim Samama · June 3, 2026 The time for lighting Shabbat candles is before sunset, never during bein hashmashot (twilight, when lighting is already forbidden)."
blog/bougies-shabbat-horaire-allumage-en.html,tosefet,"The most common custom, matching the mitzvah of tosefet Shabbat, is to light 18 minutes before local sunset."
blog/bougies-shabbat-horaire-allumage-en.html,bein_hashmashot,"Short answer You light the candles before the entry of Shabbat , while it is still day — not during בין השמשות (twilight), when lighting is already forbidden."
blog/bougies-shabbat-horaire-allumage-en.html,tosefet,The Torah even asks us to anticipate a little: this is the mitzvah of תוספת שבת .
blog/bougies-shabbat-horaire-allumage-en.html,,The most widespread custom is to light 18 minutes before sunset ; times change by place and community.
